Date,Company,AppLink/VendorName,Type,Designation
11/3/2023,Pluralsight,https://pluralsight.wd1.myworkdayjobs.com/en-US/Careers/job/Software-Engineer-4_R0011312,App,
11/7/2023,VMWare,https://vmware.wd1.myworkdayjobs.com/en-US/VMware/job/Senior-Software-Engineer--C--_R2307773-1,App,
11/7/2023,,,App,
11/7/2023,Moloco,https://boards.greenhouse.io/moloco/jobs/5757447003?gh_src=3276b55b3us&source=LinkedIn,App,
11/7/2023,https://www.linkedin.com/in/kaortiz/,DocuSign,Vendor,
11/7/2023,Microsoft,https://jobs.careers.microsoft.com/global/en/job/1657308,App,
11/7/2023,Qumulo ,https://boards.greenhouse.io/qumulo/jobs/4877136?source=LinkedIn,App,
11/7/2023,Capital Group,https://capgroup.wd1.myworkdayjobs.com/en-US/capitalgroupcareers/job/Senior-Software-Development-Engineer_JR1709,App,
11/8/2023,Dropbox,https://www.linkedin.com/jobs/view/3759371479/?eBP=JYMBII_JOBS_HOME_ORGANIC&refId=88MHWvxrGQ2jCDAM36YgbA%3D%3D&trackingId=GHGkVuf3TdzxsOwe7uXiTQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
11/8/2023,Warner Bros,https://www.linkedin.com/jobs/view/3745430203/?eBP=CwEAAAGLsRxziO1awpR8i2UK5U93D19pDVb92-X9WSKm06okFx3TV_V1xbGyCFXJZKpJP3PShXvGksWCtot8eR8kIakteR_Rk_TmktZZFC1ws_twy5atwXk54NLltG8X0lv046WVenLP2MgKwVA0l8Jy2bLM2xbHiMhuo-XM89SWwjl6OO5kqLEoIu1qD_VVQF3H0oQWYyyWd6249Iw7xg79i5_O6-skMxndFMB8j9keEpCL75ooxkSts6NyzpfN9dmAtsdVMgrht2AyJ0_sYpY2rx2IewJYVR5YkGt5ULCLlxEPw7HFZSIuJ08ksk7C-y517m_lREWH3syaE0NrSkYo2Gz5ImhWse7RyAjv3mM&refId=s5eO0YUiJM4ptEFT0dat0Q%3D%3D&trackingId=RQhVBOofbGGTnazRXN17rA%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
11/8/2023,NerdWallet,https://www.linkedin.com/jobs/view/3745780006/?eBP=JYMBII_JOBS_HOME_ORGANIC&refId=EZACqgN1aK3WXAY%2FvSdGAQ%3D%3D&trackingId=C%2Fy1ODqlgBNVr5tFiXbBJg%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
11/8/2023,Highspot,https://www.linkedin.com/jobs/view/3738318159/?eBP=JYMBII_JOBS_HOME_ORGANIC&refId=s5eO0YUiJM4ptEFT0dat0Q%3D%3D&trackingId=r1apm0Mr1SBis4f19dCteQ%3D%3D&trk=flagship3_jobs_discovery_jymbii,App,
11/8/2023,Netflix,https://jobs.netflix.com/jobs/300341556,App,
11/8/2023,Highspot,https://jobs.lever.co/highspot/957d9318-9306-4b36-9ce5-01e870da00e8/,App,
11/16/2023,Snap,https://wd1.myworkdaysite.com/en-US/recruiting/snapchat/snap/job/Software-Engineer--14--Years-of-Experience_Q423PE7,App,
11/28/2023,Moloco,https://boards.greenhouse.io/moloco/jobs/5757447003,App,
